Date,LQD
2023-02-28,92.2293930053711
2023-03-01,91.6544189453125
2023-03-02,91.73308563232422
2023-03-03,92.77289581298828
2023-03-06,92.51948547363281
2023-03-07,92.25736999511719
2023-03-08,92.10881042480469
2023-03-09,92.02143859863281
2023-03-10,93.34088134765625
2023-03-13,93.41951751708984
2023-03-14,93.13992309570312
2023-03-15,94.03119659423828
2023-03-16,93.8913803100586
2023-03-17,94.3632583618164
2023-03-20,94.08363342285156
2023-03-21,94.53800964355469
2023-03-22,95.08851623535156
2023-03-23,95.35939025878906
2023-03-24,95.65650939941406
2023-03-27,94.51179504394531
2023-03-28,94.3544921875
2023-03-29,94.79141235351562
2023-03-30,94.92247772216797
2023-03-31,95.7788314819336
2023-04-03,96.3573226928711
2023-04-04,96.48004150390625
2023-04-05,96.79560852050781
2023-04-06,96.70796203613281
2023-04-10,96.26093292236328
2023-04-11,96.234619140625
2023-04-12,96.03302001953125
2023-04-13,96.1995849609375
2023-04-14,95.8840103149414
2023-04-17,95.27920532226562
2023-04-18,95.59476470947266
2023-04-19,95.1214370727539
2023-04-20,95.48080444335938
2023-04-21,95.54216003417969
2023-04-24,95.96290588378906
2023-04-25,96.38362884521484
2023-04-26,95.96290588378906
2023-04-27,95.61229705810547
2023-04-28,96.3573226928711
2023-05-01,94.8023681640625
2023-05-02,95.94572448730469
2023-05-03,96.10403442382812
2023-05-04,95.84020233154297
2023-05-05,95.4620132446289
2023-05-08,94.77600860595703
2023-05-09,94.74080657958984
2023-05-10,95.4883804321289
2023-05-11,95.8577651977539
2023-05-12,95.26850891113281
2023-05-15,94.75837707519531
2023-05-16,94.2834701538086
2023-05-17,94.27466583251953
2023-05-18,93.87889099121094
2023-05-19,93.76457214355469
2023-05-22,93.72937774658203
2023-05-23,93.92286682128906
2023-05-24,93.55343627929688
2023-05-25,93.24562072753906
2023-05-26,93.64142608642578
2023-05-30,94.34502410888672
2023-05-31,94.6528549194336
2023-06-01,94.9431381225586
2023-06-02,94.68727111816406
2023-06-05,94.48432922363281
2023-06-06,94.66960906982422
2023-06-07,93.82255554199219
2023-06-08,94.44905090332031
2023-06-09,94.20195770263672
2023-06-12,94.50196075439453
2023-06-13,94.07844543457031
2023-06-14,94.36962127685547
2023-06-15,95.19024658203125
2023-06-16,95.02256774902344
2023-06-20,95.3666763305664
2023-06-21,95.26081085205078
2023-06-22,94.76669311523438
2023-06-23,95.03138732910156
2023-06-26,95.13728332519531
2023-06-27,95.03138732910156
2023-06-28,95.44609832763672
2023-06-29,94.72257995605469
2023-06-30,95.41962432861328
2023-07-03,95.15230560302734
2023-07-05,94.47066497802734
2023-07-06,93.51464080810547
2023-07-07,93.4261245727539
2023-07-10,93.91297912597656
2023-07-11,94.35558319091797
2023-07-12,95.18771362304688
2023-07-13,95.86046600341797
2023-07-14,95.11687469482422
2023-07-17,95.27622985839844
2023-07-18,95.51522827148438
2023-07-19,96.05522155761719
2023-07-20,95.40901184082031
2023-07-21,95.57722473144531
2023-07-24,95.46212005615234
2023-07-25,95.31166076660156
2023-07-26,95.75424194335938
2023-07-27,94.58575439453125
2023-07-28,95.20541381835938
2023-07-31,95.47096252441406
2023-08-01,94.51966857910156
2023-08-02,93.9422836303711
2023-08-03,93.09844207763672
2023-08-04,94.0666275024414
2023-08-07,93.83570098876953
2023-08-08,94.2087631225586
2023-08-09,94.29759979248047
2023-08-10,93.63139343261719
2023-08-11,93.3116455078125
2023-08-14,93.27609252929688
2023-08-15,92.78755187988281
2023-08-16,92.37005615234375
2023-08-17,92.12137603759766
2023-08-18,92.46776580810547
2023-08-21,91.91703796386719
2023-08-22,92.20130157470703
2023-08-23,93.49817657470703
2023-08-24,93.17838287353516
2023-08-25,93.23169708251953
2023-08-28,93.5248031616211
2023-08-29,94.27095031738281
2023-08-30,94.1376953125
2023-08-31,94.29759979248047
2023-09-01,93.62632751464844
2023-09-05,92.95777893066406
2023-09-06,92.8686294555664
2023-09-07,93.27869415283203
2023-09-08,93.34998321533203
2023-09-11,93.17170715332031
2023-09-12,93.14496612548828
2023-09-13,93.34998321533203
2023-09-14,93.18063354492188
2023-09-15,93.03801727294922
2023-09-18,93.21630096435547
2023-09-19,92.90428161621094
2023-09-20,92.93995666503906
2023-09-21,92.00393676757812
2023-09-22,92.5655517578125
2023-09-25,91.66522216796875
2023-09-26,91.40670013427734
2023-09-27,90.97881317138672
2023-09-28,91.13925170898438
2023-09-29,90.94317626953125
2023-10-02,90.11000061035156
2023-10-03,89.07186126708984
2023-10-04,89.8504638671875
2023-10-05,89.7430648803711
2023-10-06,89.47456359863281
2023-10-09,90.58431243896484
2023-10-10,90.62010955810547
2023-10-11,91.17494201660156
2023-10-12,90.22633361816406
2023-10-13,90.72748565673828
2023-10-16,90.10103607177734
2023-10-17,89.38510131835938
2023-10-18,88.66914367675781
2023-10-19,87.95323181152344
2023-10-20,88.30223083496094
2023-10-23,88.99134063720703
2023-10-24,89.49247741699219
2023-10-25,88.67809295654297
2023-10-26,89.32244873046875
